alarm
speaker
tone
light
statu
input
audio
video
i
d
sourc
support
volum
percentag
step
valu
max
mute
enabl
batteri
level
capac
charg
discharg
low
threshold
energi
electr
prop
voltag
materi
switch
binari
toggl
power
state
imped
bio
analysi
water
fat
muscl
bone
viscera
kcal
resist
boiler
bright
clock
current
time
date
colour
red
green
blue
satur
door
durat
open
vehicl
connector
consumpt
absolut
round
digit
signific
factor
multipli
frequenc
gener
data
detect
fault
code
descript
height
hot
suppli
bath
keypad
number
kei
sensor
motion
silent
sensit
oximet
pressur
diastol
systol
rate
puls
oxygen
save
button
push
record
refriger
filter
lifetim
rapid
freez
cool
defrost
rel
humid
desir
rins
mode
run
oper
strength
signal
lqi
rssi
smoke
spin
televis
channel
id
avail
previou
temperatur
target
unit
min
threshhold
timer
activ
deactiv
refer
start
stop
end
estim
turbo
flow
liquid
weight
wind
direct
right
left
