term,label
urn:oma:lwm2m:oma:res:5547,Multi-state Input
urn:oma:lwm2m:oma:res:5815,Cumulative reactive power
urn:oma:lwm2m:oma:res:5544,Cumulative Time
urn:oma:lwm2m:oma:res:5542,Down Counter
urn:oma:lwm2m:oma:res:5532,Increase Input State
urn:oma:lwm2m:oma:res:5850,On/Off
urn:oma:lwm2m:oma:res:5533,Decrease Input State
urn:oma:lwm2m:ext:3317,Current
urn:oma:lwm2m:ext:3343,Dimmer
urn:oma:lwm2m:oma:res:5911,Bitmap Input Reset
urn:oma:lwm2m:oma:res:5816,Reactive Power Calibration
urn:oma:lwm2m:oma:res:5551,Digital Output Polarity
urn:oma:lwm2m:ext:3320,Percentage
urn:oma:lwm2m:oma:res:5702,X Value
urn:oma:lwm2m:oma:res:5751,Sensor Type
urn:oma:lwm2m:ext:3335,Colour
urn:oma:lwm2m:oma:res:5512,Min Z Value
urn:oma:lwm2m:oma:res:5803,Min Range active power
urn:oma:lwm2m:ext:3304,Humidity
urn:oma:lwm2m:oma:res:5601,Min Measured Value
urn:oma:lwm2m:ext:3338,Buzzer
urn:oma:lwm2m:oma:res:5545,Max X Coordinate
urn:oma:lwm2m:oma:res:5503,Digital Input Debounce
urn:oma:lwm2m:oma:res:5701,Sensor Units
urn:oma:lwm2m:oma:res:5514,Longitude
urn:oma:lwm2m:ext:3318,Frequency
urn:oma:lwm2m:oma:res:5825,Duration In Min
