term,label
http://openconnectivity.org/iotdatamodels/schemas/openLevel,openLevel
http://openconnectivity.org/iotdatamodels/schemas/startTime,startTime
http://openconnectivity.org/iotdatamodels/schemas/frequency,frequency
http://openconnectivity.org/iotdatamodels/schemas/Refrigeration,Refrigeration
http://openconnectivity.org/iotdatamodels/schemas/weight,weight
http://openconnectivity.org/iotdatamodels/schemas/bm,bm
http://openconnectivity.org/iotdatamodels/schemas/desiredfrequency,desiredfrequency
http://openconnectivity.org/iotdatamodels/schemas/type,type
http://openconnectivity.org/iotdatamodels/schemas/Air%20Flow,Air Flow
http://openconnectivity.org/iotdatamodels/schemas/strengthrange,strengthrange
http://openconnectivity.org/iotdatamodels/schemas/volume,volume
http://openconnectivity.org/iotdatamodels/schemas/remainingTime,remainingTime
http://openconnectivity.org/iotdatamodels/schemas/duration,duration
http://openconnectivity.org/iotdatamodels/schemas/Media%20Source%20List,Media Source List
http://openconnectivity.org/iotdatamodels/schemas/contaminantvalue,contaminantvalue
http://openconnectivity.org/iotdatamodels/schemas/Motion%20Sensor,Motion Sensor
http://openconnectivity.org/iotdatamodels/schemas/machineStates,machineStates
http://openconnectivity.org/iotdatamodels/schemas/contaminanttype,contaminanttype
http://openconnectivity.org/iotdatamodels/schemas/availablelevels,availablelevels
http://openconnectivity.org/iotdatamodels/schemas/UV%20Radiation,UV Radiation
http://openconnectivity.org/iotdatamodels/schemas/Contact%20Sensor,Contact Sensor
http://openconnectivity.org/iotdatamodels/schemas/strength,strength
http://openconnectivity.org/iotdatamodels/schemas/units,units
http://openconnectivity.org/iotdatamodels/schemas/Ice%20Maker,Ice Maker
http://openconnectivity.org/iotdatamodels/schemas/Air%20Quality,Air Quality
http://openconnectivity.org/iotdatamodels/schemas/automode,automode
http://openconnectivity.org/iotdatamodels/schemas/desiredcurrent,desiredcurrent
http://openconnectivity.org/iotdatamodels/schemas/Battery,Battery
http://openconnectivity.org/iotdatamodels/schemas/Humidity,Humidity
http://openconnectivity.org/iotdatamodels/schemas/valuetype,valuetype
http://openconnectivity.org/iotdatamodels/schemas/Foaming,Foaming
http://openconnectivity.org/iotdatamodels/schemas/movementModifier,movementModifier
http://openconnectivity.org/iotdatamodels/schemas/foamstrength,foamstrength
http://openconnectivity.org/iotdatamodels/schemas/currentlevel,currentlevel
http://openconnectivity.org/iotdatamodels/schemas/ct,ct
http://openconnectivity.org/iotdatamodels/schemas/height,height
http://openconnectivity.org/iotdatamodels/schemas/Water%20Sensor,Water Sensor
http://openconnectivity.org/iotdatamodels/schemas/desiredHumidity,desiredHumidity
http://openconnectivity.org/iotdatamodels/schemas/resources,resources
http://openconnectivity.org/iotdatamodels/schemas/openState,openState
http://openconnectivity.org/iotdatamodels/schemas/title,title
http://openconnectivity.org/iotdatamodels/schemas/Carbon%20Monoxide%20Sensor,Carbon Monoxide Sensor
http://openconnectivity.org/iotdatamodels/schemas/Generic%20Sensor,Generic Sensor
http://openconnectivity.org/iotdatamodels/schemas/pri,pri
http://openconnectivity.org/iotdatamodels/schemas/charging,charging
http://openconnectivity.org/iotdatamodels/schemas/colourSaturation,colourSaturation
http://openconnectivity.org/iotdatamodels/schemas/Media,Media
http://openconnectivity.org/iotdatamodels/schemas/rateddischargingcapacity,rateddischargingcapacity
http://openconnectivity.org/iotdatamodels/schemas/Demand%20Response%20Load%20Control%20(DRLC).,Demand Response Load Control (DRLC).
http://openconnectivity.org/iotdatamodels/schemas/Geolocation,Geolocation
http://openconnectivity.org/iotdatamodels/schemas/Carbon%20Dioxide%20Sensor,Carbon Dioxide Sensor
http://openconnectivity.org/iotdatamodels/schemas/desiredlevel,desiredlevel
http://openconnectivity.org/iotdatamodels/schemas/maxheatinglevel,maxheatinglevel
http://openconnectivity.org/iotdatamodels/schemas/Binary%20Switch,Binary Switch
http://openconnectivity.org/iotdatamodels/schemas/Colour%20Temperature,Colour Temperature
http://openconnectivity.org/iotdatamodels/schemas/start,start
http://openconnectivity.org/iotdatamodels/schemas/datetime,datetime
http://openconnectivity.org/iotdatamodels/schemas/links,links
http://openconnectivity.org/iotdatamodels/schemas/drel,drel
http://openconnectivity.org/iotdatamodels/schemas/amountrequested,amountrequested
http://openconnectivity.org/iotdatamodels/schemas/Auto%20Focus,Auto Focus
http://openconnectivity.org/iotdatamodels/schemas/material,material
http://openconnectivity.org/iotdatamodels/schemas/supportedModes,supportedModes
http://openconnectivity.org/iotdatamodels/schemas/Door,Door
http://openconnectivity.org/iotdatamodels/schemas/href,href
http://openconnectivity.org/iotdatamodels/schemas/Clock,Clock
http://openconnectivity.org/iotdatamodels/schemas/batterythreshold,batterythreshold
http://openconnectivity.org/iotdatamodels/schemas/modes,modes
http://openconnectivity.org/iotdatamodels/schemas/Heart%20Rate%20Zone,Heart Rate Zone
http://openconnectivity.org/iotdatamodels/schemas/Open%20Level,Open Level
http://openconnectivity.org/iotdatamodels/schemas/Pan%20Tilt%20Zoom%20Movement,Pan Tilt Zoom Movement
http://openconnectivity.org/iotdatamodels/schemas/rt,rt
http://openconnectivity.org/iotdatamodels/schemas/di,di
http://openconnectivity.org/iotdatamodels/schemas/range,range
http://openconnectivity.org/iotdatamodels/schemas/Illuminance%20Sensor,Illuminance Sensor
http://openconnectivity.org/iotdatamodels/schemas/Mode,Mode
http://openconnectivity.org/iotdatamodels/schemas/Lock%20Code,Lock Code
http://openconnectivity.org/iotdatamodels/schemas/rel,rel
http://openconnectivity.org/iotdatamodels/schemas/targetlevel,targetlevel
http://openconnectivity.org/iotdatamodels/schemas/step,step
http://openconnectivity.org/iotdatamodels/schemas/Touch%20Sensor,Touch Sensor
http://openconnectivity.org/iotdatamodels/schemas/supportedLanguages,supportedLanguages
http://openconnectivity.org/iotdatamodels/schemas/power,power
http://openconnectivity.org/iotdatamodels/schemas/Energy%20Overload/Circuit%20Breaker,Energy Overload/Circuit Breaker
http://openconnectivity.org/iotdatamodels/schemas/zoomFactor,zoomFactor
http://openconnectivity.org/iotdatamodels/schemas/Smoke%20Sensor,Smoke Sensor
http://openconnectivity.org/iotdatamodels/schemas/progressPercentage,progressPercentage
http://openconnectivity.org/iotdatamodels/schemas/Energy%20Consumption,Energy Consumption
http://openconnectivity.org/iotdatamodels/schemas/runningTime,runningTime
http://openconnectivity.org/iotdatamodels/schemas/Selectable%20Levels,Selectable Levels
http://openconnectivity.org/iotdatamodels/schemas/maximumsaturation,maximumsaturation
http://openconnectivity.org/iotdatamodels/schemas/Button%20Switch,Button Switch
http://openconnectivity.org/iotdatamodels/schemas/saturation,saturation
http://openconnectivity.org/iotdatamodels/schemas/Dimming,Dimming
http://openconnectivity.org/iotdatamodels/schemas/ep,ep
http://openconnectivity.org/iotdatamodels/schemas/countdown,countdown
http://openconnectivity.org/iotdatamodels/schemas/Energy,Energy
http://openconnectivity.org/iotdatamodels/schemas/Brightness,Brightness
http://openconnectivity.org/iotdatamodels/schemas/tilt,tilt
http://openconnectivity.org/iotdatamodels/schemas/rampTime,rampTime
http://openconnectivity.org/iotdatamodels/schemas/Grinder,Grinder
http://openconnectivity.org/iotdatamodels/schemas/charge,charge
http://openconnectivity.org/iotdatamodels/schemas/currentMachineState,currentMachineState
http://openconnectivity.org/iotdatamodels/schemas/orderpercentage,orderpercentage
http://openconnectivity.org/iotdatamodels/schemas/Air%20Quality%20Collection,Air Quality Collection
http://openconnectivity.org/iotdatamodels/schemas/Colour%20Chroma,Colour Chroma
http://openconnectivity.org/iotdatamodels/schemas/hue,hue
http://openconnectivity.org/iotdatamodels/schemas/adfStates,adfStates
http://openconnectivity.org/iotdatamodels/schemas/brightness,brightness
http://openconnectivity.org/iotdatamodels/schemas/movement,movement
http://openconnectivity.org/iotdatamodels/schemas/Height,Height
http://openconnectivity.org/iotdatamodels/schemas/Colour%20RGB,Colour RGB
http://openconnectivity.org/iotdatamodels/schemas/energy,energy
http://openconnectivity.org/iotdatamodels/schemas/nightMode,nightMode
http://openconnectivity.org/iotdatamodels/schemas/rgbValue,rgbValue
http://openconnectivity.org/iotdatamodels/schemas/Time%20Period,Time Period
http://openconnectivity.org/iotdatamodels/schemas/openAlarm,openAlarm
http://openconnectivity.org/iotdatamodels/schemas/Base%20Resource%20Schema,Base Resource Schema
http://openconnectivity.org/iotdatamodels/schemas/Presence%20Sensor,Presence Sensor
http://openconnectivity.org/iotdatamodels/schemas/VehicleConnector,VehicleConnector
http://openconnectivity.org/iotdatamodels/schemas/Colour%20Hue%20and%20Saturation,Colour Hue and Saturation
http://openconnectivity.org/iotdatamodels/schemas/Temperature,Temperature
http://openconnectivity.org/iotdatamodels/schemas/Colour%20Saturation,Colour Saturation
http://openconnectivity.org/iotdatamodels/schemas/Media%20Source%20Output,Media Source Output
http://openconnectivity.org/iotdatamodels/schemas/energygenerated,energygenerated
http://openconnectivity.org/iotdatamodels/schemas/Heating%20Zone%20Collection,Heating Zone Collection
http://openconnectivity.org/iotdatamodels/schemas/Consumable,Consumable
