term,label
http://www.onem2m.org/ontology/Base_Ontology#hasOutputTarget,hasOutputTarget
http://www.onem2m.org/ontology/Base_Ontology#hasOutputTarget,hasOutputTarget
http://www.onem2m.org/ontology/Base_Ontology#hasInputTarget,hasInputTarget
http://www.onem2m.org/ontology/Base_Ontology#Output,Output
http://www.onem2m.org/ontology/Base_Ontology#hasMetaData,hasMetaData
http://www.onem2m.org/ontology/Base_Ontology#netTechnologyCommunicationProtocol,netTechnologyCommunicationProtocol
http://www.onem2m.org/ontology/Base_Ontology#describe,describe
http://www.onem2m.org/ontology/Base_Ontology#hasOperation,hasOperation
http://www.onem2m.org/ontology/Base_Ontology#isPartOf,isPartOf
http://www.onem2m.org/ontology/Base_Ontology#Value,Value
http://www.onem2m.org/ontology/Base_Ontology#exposesFunctionality,exposesFunctionality
http://www.onem2m.org/ontology/Base_Ontology#MeasuringFunctionality,MeasuringFunctionality
http://www.onem2m.org/ontology/Base_Ontology#Operation,Operation
http://www.onem2m.org/ontology/Base_Ontology#hasMethod,hasMethod
http://www.onem2m.org/ontology/Base_Ontology#Operation,Operation
http://www.onem2m.org/ontology/Base_Ontology#Operation,Operation
http://www.onem2m.org/ontology/Base_Ontology#MetaData,MetaData
http://www.onem2m.org/ontology/Base_Ontology#isExposedByOperation,isExposedByOperation
http://www.onem2m.org/ontology/Base_Ontology#hasFunctionality,hasFunctionality
http://www.onem2m.org/ontology/Base_Ontology#Operation,Operation
http://www.onem2m.org/ontology/Base_Ontology#netTechnologyCommunicationProtocol,netTechnologyCommunicationProtocol
http://www.onem2m.org/ontology/Base_Ontology#InterworkedTarget,InterworkedTarget
http://www.onem2m.org/ontology/Base_Ontology#Method,Method
http://www.onem2m.org/ontology/Base_Ontology#canHaveMetaData,canHaveMetaData
http://www.onem2m.org/ontology/Base_Ontology#isExposedByOperation,isExposedByOperation
http://www.onem2m.org/ontology/Base_Ontology#canHaveMetaData,canHaveMetaData
http://www.onem2m.org/ontology/Base_Ontology#exposesFunctionality,exposesFunctionality
http://www.onem2m.org/ontology/Base_Ontology#hasDataTypeAndRange,hasDataTypeAndRange
http://www.onem2m.org/ontology/Base_Ontology#hasDataTypeAndRange,hasDataTypeAndRange
http://www.onem2m.org/ontology/Base_Ontology#hasOperationState,hasOperationState
http://www.onem2m.org/ontology/Base_Ontology#hasSubService,hasSubService
http://www.onem2m.org/ontology/Base_Ontology#isExposedByService,isExposedByService
http://www.onem2m.org/ontology/Base_Ontology#ControllingFunctionality,ControllingFunctionality
http://www.onem2m.org/ontology/Base_Ontology#InterworkedMethod,InterworkedMethod
http://www.onem2m.org/ontology/Base_Ontology#Output,Output
http://www.onem2m.org/ontology/Base_Ontology#Aspect,Aspect
http://www.onem2m.org/ontology/Base_Ontology#Command,Command
http://www.onem2m.org/ontology/Base_Ontology#InterworkedTarget,InterworkedTarget
http://www.onem2m.org/ontology/Base_Ontology#OneM2MTarget,OneM2MTarget
http://www.onem2m.org/ontology/Base_Ontology#netTechnologyPhysicalStandard,netTechnologyPhysicalStandard
http://www.onem2m.org/ontology/Base_Ontology#hasThingProperty,hasThingProperty
http://www.onem2m.org/ontology/Base_Ontology#hasOperationState,hasOperationState
http://www.onem2m.org/ontology/Base_Ontology#describe,describe
http://www.onem2m.org/ontology/Base_Ontology#CRUDNMethod,CRUDNMethod
http://www.onem2m.org/ontology/Base_Ontology#hasOutput,hasOutput
http://www.onem2m.org/ontology/Base_Ontology#hasSubService,hasSubService
http://www.onem2m.org/ontology/Base_Ontology#netTechnologyProfile,netTechnologyProfile
http://www.onem2m.org/ontology/Base_Ontology#describe,describe
http://www.onem2m.org/ontology/Base_Ontology#InterworkedDevice,InterworkedDevice
http://www.onem2m.org/ontology/Base_Ontology#hasOutput,hasOutput
http://www.onem2m.org/ontology/Base_Ontology#Value,Value
http://www.onem2m.org/ontology/Base_Ontology#hasMetaData,hasMetaData
http://www.onem2m.org/ontology/Base_Ontology#hasInput,hasInput
http://www.onem2m.org/ontology/Base_Ontology#isControlledBy,isControlledBy
http://www.onem2m.org/ontology/Base_Ontology#hasFunctionality,hasFunctionality
http://www.onem2m.org/ontology/Base_Ontology#InterworkedMethod,InterworkedMethod
http://www.onem2m.org/ontology/Base_Ontology#hasSubService,hasSubService
http://www.onem2m.org/ontology/Base_Ontology#hasInput,hasInput
http://www.onem2m.org/ontology/Base_Ontology#OneM2MTarget,OneM2MTarget
http://www.onem2m.org/ontology/Base_Ontology#MetaData,MetaData
http://www.onem2m.org/ontology/Base_Ontology#OperationState,OperationState
http://www.onem2m.org/ontology/Base_Ontology#Thing,Thing
http://www.onem2m.org/ontology/Base_Ontology#Input,Input
http://www.onem2m.org/ontology/Base_Ontology#isExposedByService,isExposedByService
http://www.onem2m.org/ontology/Base_Ontology#hasTarget,hasTarget
http://www.onem2m.org/ontology/Base_Ontology#hasMetaData,hasMetaData
http://www.onem2m.org/ontology/Base_Ontology#Device,Device
http://www.onem2m.org/ontology/Base_Ontology#hasOperationStateTarget,hasOperationStateTarget
http://www.onem2m.org/ontology/Base_Ontology#hasCommand,hasCommand
http://www.onem2m.org/ontology/Base_Ontology#hasTarget,hasTarget
http://www.onem2m.org/ontology/Base_Ontology#refersTo,refersTo
http://www.onem2m.org/ontology/Base_Ontology#exposesCommand,exposesCommand
http://www.onem2m.org/ontology/Base_Ontology#netTechnologyCommunicationProtocol,netTechnologyCommunicationProtocol
http://www.onem2m.org/ontology/Base_Ontology#hasCommand,hasCommand
http://www.onem2m.org/ontology/Base_Ontology#hasInputTarget,hasInputTarget
http://www.onem2m.org/ontology/Base_Ontology#Command,Command
http://www.onem2m.org/ontology/Base_Ontology#isControlledBy,isControlledBy
http://www.onem2m.org/ontology/Base_Ontology#MeasuringFunctionality,MeasuringFunctionality
http://www.onem2m.org/ontology/Base_Ontology#InterworkedDevice,InterworkedDevice
http://www.onem2m.org/ontology/Base_Ontology#exposesFunctionality,exposesFunctionality
http://www.onem2m.org/ontology/Base_Ontology#Method,Method
http://www.onem2m.org/ontology/Base_Ontology#hasInputTarget,hasInputTarget
http://www.onem2m.org/ontology/Base_Ontology#concerns,concerns
http://www.onem2m.org/ontology/Base_Ontology#isPartOf,isPartOf
http://www.onem2m.org/ontology/Base_Ontology#ControllingFunctionality,ControllingFunctionality
http://www.onem2m.org/ontology/Base_Ontology#netTechnologyProfile,netTechnologyProfile
http://www.onem2m.org/ontology/Base_Ontology#Output,Output
http://www.onem2m.org/ontology/Base_Ontology#Service,Service
http://www.onem2m.org/ontology/Base_Ontology#Functionality,Functionality
http://www.onem2m.org/ontology/Base_Ontology#InterworkedDevice,InterworkedDevice
http://www.onem2m.org/ontology/Base_Ontology#Service,Service
http://www.onem2m.org/ontology/Base_Ontology#isExposedByOperation,isExposedByOperation
http://www.onem2m.org/ontology/Base_Ontology#CRUDNMethod,CRUDNMethod
http://www.onem2m.org/ontology/Base_Ontology#netTechnologyProfile,netTechnologyProfile
http://www.onem2m.org/ontology/Base_Ontology#hasMethod,hasMethod
http://www.onem2m.org/ontology/Base_Ontology#hasThingProperty,hasThingProperty
http://www.onem2m.org/ontology/Base_Ontology#consistsOf,consistsOf
http://www.onem2m.org/ontology/Base_Ontology#OneM2MTarget,OneM2MTarget
http://www.onem2m.org/ontology/Base_Ontology#InterworkedTarget,InterworkedTarget
http://www.onem2m.org/ontology/Base_Ontology#isExposedByService,isExposedByService
http://www.onem2m.org/ontology/Base_Ontology#hasOperation,hasOperation
http://www.onem2m.org/ontology/Base_Ontology#hasTarget,hasTarget
http://www.onem2m.org/ontology/Base_Ontology#netTechnologyPhysicalStandard,netTechnologyPhysicalStandard
http://www.onem2m.org/ontology/Base_Ontology#isExposedByOperation,isExposedByOperation
http://www.onem2m.org/ontology/Base_Ontology#hasMethod,hasMethod
http://www.onem2m.org/ontology/Base_Ontology#isExposedByService,isExposedByService
http://www.onem2m.org/ontology/Base_Ontology#Operation,Operation
http://www.onem2m.org/ontology/Base_Ontology#hasInput,hasInput
http://www.onem2m.org/ontology/Base_Ontology#Functionality,Functionality
http://www.onem2m.org/ontology/Base_Ontology#AreaNetwork,AreaNetwork
http://www.onem2m.org/ontology/Base_Ontology#isPartOf,isPartOf
http://www.onem2m.org/ontology/Base_Ontology#Aspect,Aspect
http://www.onem2m.org/ontology/Base_Ontology#concerns,concerns
http://www.onem2m.org/ontology/Base_Ontology#netTechnologyProfile,netTechnologyProfile
http://www.onem2m.org/ontology/Base_Ontology#hasMethod,hasMethod
http://www.onem2m.org/ontology/Base_Ontology#concerns,concerns
http://www.onem2m.org/ontology/Base_Ontology#hasThingProperty,hasThingProperty
http://www.onem2m.org/ontology/Base_Ontology#CRUDNMethod,CRUDNMethod
http://www.onem2m.org/ontology/Base_Ontology#hasService,hasService
http://www.onem2m.org/ontology/Base_Ontology#Input,Input
http://www.onem2m.org/ontology/Base_Ontology#hasCommand,hasCommand
http://www.onem2m.org/ontology/Base_Ontology#consistsOf,consistsOf
http://www.onem2m.org/ontology/Base_Ontology#hasOutputTarget,hasOutputTarget
http://www.onem2m.org/ontology/Base_Ontology#Device,Device
http://www.onem2m.org/ontology/Base_Ontology#Device,Device
http://www.onem2m.org/ontology/Base_Ontology#Device,Device
http://www.onem2m.org/ontology/Base_Ontology#Service,Service
http://www.onem2m.org/ontology/Base_Ontology#hasOperationStateTarget,hasOperationStateTarget
http://www.onem2m.org/ontology/Base_Ontology#netTechnologyPhysicalStandard,netTechnologyPhysicalStandard
http://www.onem2m.org/ontology/Base_Ontology#hasThingRelation,hasThingRelation
http://www.onem2m.org/ontology/Base_Ontology#MeasuringFunctionality,MeasuringFunctionality
http://www.onem2m.org/ontology/Base_Ontology#hasOperationState,hasOperationState
http://www.onem2m.org/ontology/Base_Ontology#concerns,concerns
http://www.onem2m.org/ontology/Base_Ontology#canHaveMetaData,canHaveMetaData
http://www.onem2m.org/ontology/Base_Ontology#Target,Target
http://www.onem2m.org/ontology/Base_Ontology#hasOperationStateTarget,hasOperationStateTarget
http://www.onem2m.org/ontology/Base_Ontology#hasDataTypeAndRange,hasDataTypeAndRange
http://www.onem2m.org/ontology/Base_Ontology#isControlledBy,isControlledBy
http://www.onem2m.org/ontology/Base_Ontology#Input,Input
http://www.onem2m.org/ontology/Base_Ontology#hasThingProperty,hasThingProperty
http://www.onem2m.org/ontology/Base_Ontology#Device,Device
http://www.onem2m.org/ontology/Base_Ontology#hasOutputTarget,hasOutputTarget
http://www.onem2m.org/ontology/Base_Ontology#isControlledBy,isControlledBy
http://www.onem2m.org/ontology/Base_Ontology#hasSubService,hasSubService
http://www.onem2m.org/ontology/Base_Ontology#Device,Device
http://www.onem2m.org/ontology/Base_Ontology#ControllingFunctionality,ControllingFunctionality
http://www.onem2m.org/ontology/Base_Ontology#OperationState,OperationState
http://www.onem2m.org/ontology/Base_Ontology#refersTo,refersTo
http://www.onem2m.org/ontology/Base_Ontology#Thing,Thing
